Code,Model Info
A2-03-01-S,8/SE2/SE3
A2-02-06-S,8+
A2-02-04-S,XS/X/11P
A2-02-03-S,XSMAX/11PM
A2-02-01-S,12/12P
A2-01-06-S,12PM
A2-02-02-S,12m
A2-01-04-S,13/13P/14
A2-01-03-S,13PM/14+
A2-01-05-S,13m
A2-01-02-S,14P
A2-01-01-S,14PM
A4-04-01-S,XSMAX
A3-02-05-DOWN-S,8/SE2/SE3
A3-02-04-DOWN-S,8+
A3-02-02-DOWN-S,XS/X/11P
A3-02-03-DOWN-S,XR/11
A3-02-01-DOWN-S,XSMAX/11PM
A3-01-04-DOWN-S,12/12P
A3-01-03-DOWN-S,12PM
A3-01-05-DOWN-S,12m
A3-01-01-DOWN-S,13/13P/14
A2-03-06-DOWN-S,13PM/14+
A3-01-02-DOWN-S,13m
A2-03-04-S,14P
A2-03-02-S,14PM
A3-02-05-UP-S,8/SE2/SE3
A3-02-04-UP-S,8+
A3-02-02-UP-S,XS/X/11P
A3-02-03-UP-S,XR/11
A3-02-01-UP-S,XSMAX/11PM
A3-01-04-UP-S,12/12P
A3-01-03-UP-S,12PM
A3-01-05-UP-S,12m
A3-01-01-UP-S,13/13P/14
A2-03-06-UP-S,13PM/14+
A3-01-02-S,13m
A2-03-05-S,14P
A2-03-03-S,14PM
B2-01-01-S,8/SE2/SE3
B2-02-01-S,8+
B2-04-01-S,XS/XSMAX
B2-03-01-S,XR
B2-01-02-S,11P/11PM
B2-03-02-S,12
B2-05-02-S,12P
B2-07-02-S,12PM
B2-05-01-S,12m
B2-02-03-S,13/13m
B2-06-03-S,14/14+
B2-01-04-S,14P/14PM
B2-07-01-S,11
B2-02-02-S,11P/11PM
B2-04-02-S,12
B2-06-02-S,12P
B2-01-03-S,12PM
B2-03-03-S,13/13m
B2-05-03-S,13P/13PM
B2-07-03-S,14/14+
B2-02-04-S,14P/14PM
A4-02-03-DOWN-S,8/SE2/SE3
A4-02-02-DOWN-S,8+
A4-01-05-DOWN-S,XS/X/11P
A4-02-01-DOWN-S,XR/11
A4-01-04-DOWN-S,XSMAX/11PM
A4-01-02-DOWN-S,12/12P
A4-01-01-DOWN-S,12PM
A4-01-03-DOWN-S,12m
A3-04-02-S,13/13P/14
A3-03-05-S,13PM/14+
A3-04-04-S,13m
A3-03-03-S,14P
A4-02-02-UP-S,8+
A4-01-05-UP-S,XS/X/11P
A4-02-01-UP-S,XR/11
A4-01-04-UP-S,XSMAX/11PM
A4-01-02-UP-S,12/12P
A4-01-01-UP-S,12PM
A4-01-03-UP-S,12m
A3-04-03-S,13/13P/14
A3-04-01-S,13PM/14+
A3-04-05-S,13m
A3-03-04-S,14P
A3-03-02-S,14PM
A4-02-04-S,2/3/4 ipad
A4-04-02-S,Mini 6
A4-03-04-S,9.7 inch
A4-03-02-S,10.5 inch
A4-03-01-S,10.9/11 inch
A4-02-05-S,12.9 (2017)
A4-03-05-S,12.9 (2020/2021)
A5-02-05-S,S8
A5-02-04-S,S8+
A5-02-03-S,S9
A5-02-02-S,S9+
A5-01-08-S,S10+
A5-01-07-S,S20
A5-01-06-S,S20+
A5-01-05-S,S20U
A5-01-04-S,S21
A5-01-03-S,S21+
A5-01-01-S,S22
B4-03-03-S,S22+
A5-06-01-S,S23 5G
A5-06-02-S,S23 + 5G
A5-06-03-S,S23U 5G
A5-03-01-S,N10
A5-02-08-S,N10+
A5-02-07-S,N20
A5-05-04-S,N20U
A5-03-02-S,N9
A5-03-03-S,N8
A5-04-02-S,S20FE
A5-03-09-S,S21
A5-03-08-S,S21+
A5-04-01-S,S21FE
A5-03-06-S,S22
A5-03-05-S,S22+
A5-03-04-S,S22U
B4-06-03A-S,S23 + 
B4-06-03B-S,S23
B2-05-07-S,N20
B2-07-08-S,N20U
B2-04-04-S,S20
B2-06-04-S,S20+
B2-01-05-S,S20U
B2-05-05-S,S21
B2-07-05-S,S21+
B2-02-06-S,S21U
B2-06-06-S,S22
B2-01-07-S,S22+
B2-03-07-S,S22U
B2-04-05-S,S20FE
B2-04-06-S,S21 FE
B4-03-02-S,S23U 5G
B4-04-02-S,S23/S23+ 
B2-04-07-S,N20
B2-06-07-S,N20U
B2-03-04-S,S20
B2-05-04-S,S20+
B2-07-04-S,S20U
B2-06-05-S,S21+
B2-01-06-S,S21U
B2-05-06-S,S22
B2-07-06-S,S22+
B2-02-07-S,S22U
B2-03-06-S,S21 FE
B3-01-01-B-S,A02s
B3-01-02-A-S,A03s/A03
B3-02-04-S,A11
B3-01-02-B-S,A12
B3-01-03-A-S,A13 5G/A23
B3-01-04-A-S,A20/A30/M30/A50
B3-01-05-A-S,A30
B3-01-05-B-S,A31/A32 4G
B3-01-06-B-S,A33 5G
B4-01-01-A-S,A40
B4-01-01-B-S,A41
B3-02-01-A-S,A42 5G
B3-02-02-A-S,A51/A51 5G
B3-02-03-A-S,A53 5G
B3-02-03-B-S,A70
B3-02-05-B-S,A80/A90
A4-04-05-S,8/SE2/SE3
